"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,4,25,1655,"1700",-5,1844,1830,14,"MQ",4410,"N804MQ","JFK","DCA",55,213,17,0,"2013-04-25T21:00:00Z"
2013,12,2,1550,"1556",-6,1802,1812,-10,"EV",3825,"N14998","EWR","IND",105,645,15,56,"2013-12-02T20:00:00Z"
2013,2,17,1153,"1155",-2,1419,1304,75,"9E",3289,"N924XJ","JFK","BOS",43,187,11,55,"2013-02-17T16:00:00Z"
2013,6,28,1225,"1210",15,1459,1500,-1,"AA",743,"N426AA","LGA","DFW",188,1389,12,10,"2013-06-28T16:00:00Z"
2013,2,14,1758,"1753",5,2106,2113,-7,"UA",535,"N502UA","JFK","LAX",331,2475,17,53,"2013-02-14T22:00:00Z"
2013,5,15,701,"705",-4,922,932,-10,"B6",611,"N603JB","JFK","JAX",110,828,7,5,"2013-05-15T11:00:00Z"
2013,12,21,821,"825",-4,1050,1057,-7,"EV",4419,"N17108","EWR","XNA",184,1131,8,25,"2013-12-21T13:00:00Z"
2013,10,5,753,"800",-7,922,933,-11,"UA",449,"N434UA","LGA","ORD",112,733,8,0,"2013-10-05T12:00:00Z"
2013,7,22,2243,"2149",54,2355,2304,51,"UA",1451,"N37408","EWR","BOS",35,200,21,49,"2013-07-23T01:00:00Z"
2013,1,14,654,"654",0,942,913,29,"UA",1122,"N79402","EWR","DEN",262,1605,6,54,"2013-01-14T11:00:00Z"
2013,6,21,700,"643",17,851,901,-10,"UA",311,"N458UA","EWR","DEN",206,1605,6,43,"2013-06-21T10:00:00Z"
2013,10,26,849,"900",-11,1011,1027,-16,"FL",353,"N920AT","LGA","CAK",66,397,9,0,"2013-10-26T13:00:00Z"
2013,3,13,658,"700",-2,1029,1015,14,"AA",2279,"N3HXAA","LGA","MIA",166,1096,7,0,"2013-03-13T11:00:00Z"
2013,5,13,1015,"1020",-5,1213,1210,3,"US",1103,"N182UW","EWR","CLT",92,529,10,20,"2013-05-13T14:00:00Z"
2013,9,16,1515,"1520",-5,1736,1740,-4,"MQ",3532,"N725MQ","LGA","XNA",168,1147,15,20,"2013-09-16T19:00:00Z"
2013,8,13,1100,"945",75,1407,1305,62,"AA",1871,"N3APAA","LGA","MIA",166,1096,9,45,"2013-08-13T13:00:00Z"
2013,3,14,2230,"2155",35,121,41,40,"B6",43,"N703JB","JFK","MCO",134,944,21,55,"2013-03-15T01:00:00Z"
2013,6,10,1938,"1920",18,2053,2047,6,"UA",1703,"N73299","EWR","BOS",36,200,19,20,"2013-06-10T23:00:00Z"
2013,9,23,952,"955",-3,1245,1310,-25,"UA",642,"N597UA","JFK","SFO",331,2586,9,55,"2013-09-23T13:00:00Z"
2013,6,27,923,"915",8,1159,1215,-16,"VX",161,"N854VA","EWR","LAX",303,2454,9,15,"2013-06-27T13:00:00Z"
2013,12,6,1843,"1847",-4,2151,2207,-16,"B6",263,"N591JB","JFK","SEA",342,2422,18,47,"2013-12-06T23:00:00Z"
2013,2,14,1932,"1930",2,2310,2243,27,"DL",1435,"N909DE","LGA","TPA",187,1010,19,30,"2013-02-15T00:00:00Z"
2013,3,10,1337,"1345",-8,1600,1630,-30,"B6",127,"N238JB","EWR","MCO",123,937,13,45,"2013-03-10T17:00:00Z"
2013,1,22,1412,"1329",43,1609,1526,43,"EV",3840,"N12552","EWR","MEM",157,946,13,29,"2013-01-22T18:00:00Z"
2013,6,1,614,"605",9,844,857,-13,"UA",1115,"N17229","EWR","TPA",133,997,6,5,"2013-06-01T10:00:00Z"
2013,12,23,757,"805",-8,1128,1134,-6,"DL",2480,"N953DL","LGA","RSW",177,1080,8,5,"2013-12-23T13:00:00Z"
2013,9,13,649,"600",49,749,701,48,"US",2134,"N768US","LGA","BOS",40,184,6,0,"2013-09-13T10:00:00Z"
2013,8,19,1743,"1730",13,1937,1951,-14,"F9",837,"N203FR","LGA","DEN",210,1620,17,30,"2013-08-19T21:00:00Z"
2013,8,4,1856,"1900",-4,2039,2030,9,"US",2193,"N963UW","LGA","DCA",52,214,19,0,"2013-08-04T23:00:00Z"
2013,8,16,1517,"1520",-3,1737,1805,-28,"DL",1773,"N3742C","JFK","LAS",280,2248,15,20,"2013-08-16T19:00:00Z"
2013,11,21,631,"639",-8,1001,1002,-1,"UA",398,"N598UA","JFK","LAX",357,2475,6,39,"2013-11-21T11:00:00Z"
2013,9,23,807,"810",-3,1025,1030,-5,"DL",1743,"N382DA","JFK","ATL",103,760,8,10,"2013-09-23T12:00:00Z"
2013,6,6,655,"700",-5,1001,950,11,"AA",2083,"N4YJAA","EWR","DFW",223,1372,7,0,"2013-06-06T11:00:00Z"
2013,5,2,911,"900",11,1220,1225,-5,"AA",1,"N332AA","JFK","LAX",315,2475,9,0,"2013-05-02T13:00:00Z"
2013,1,21,1227,"1230",-3,1337,1405,-28,"WN",283,"N250WN","LGA","MKE",119,738,12,30,"2013-01-21T17:00:00Z"
2013,4,23,1737,"1620",77,2031,1916,75,"B6",985,"N552JB","LGA","TPA",137,1010,16,20,"2013-04-23T20:00:00Z"
2013,8,22,607,"611",-4,939,954,-15,"B6",1403,"N569JB","JFK","SJU",195,1598,6,11,"2013-08-22T10:00:00Z"
2013,1,27,834,"847",-13,1121,1204,-43,"UA",238,"N476UA","LGA","IAH",205,1416,8,47,"2013-01-27T13:00:00Z"
2013,6,16,826,"825",1,1114,1105,9,"AA",719,"N3JDAA","LGA","DFW",194,1389,8,25,"2013-06-16T12:00:00Z"
2013,2,13,1511,"1520",-9,1630,1654,-24,"9E",4105,"N826AY","JFK","IAD",45,228,15,20,"2013-02-13T20:00:00Z"
2013,5,23,1722,"1451",151,1859,1605,174,"EV",3829,"N17984","EWR","IAD",69,212,14,51,"2013-05-23T18:00:00Z"
2013,4,11,1916,"1859",17,2223,2230,-7,"B6",87,"N547JB","JFK","SLC",267,1990,18,59,"2013-04-11T22:00:00Z"
2013,7,22,1946,"1708",158,2209,1837,212,"EV",5824,"N13978","EWR","ORF",54,284,17,8,"2013-07-22T21:00:00Z"
2013,6,14,1205,"1210",-5,1452,1510,-18,"B6",143,"N630JB","JFK","RSW",149,1074,12,10,"2013-06-14T16:00:00Z"
2013,10,29,820,"825",-5,923,935,-12,"AA",84,"N3GCAA","JFK","BOS",36,187,8,25,"2013-10-29T12:00:00Z"
2013,8,20,1317,"1320",-3,1541,1612,-31,"UA",1054,"N33103","EWR","LAX",307,2454,13,20,"2013-08-20T17:00:00Z"
2013,11,25,1451,"1500",-9,1554,1619,-25,"US",2185,"N751UW","LGA","DCA",46,214,15,0,"2013-11-25T20:00:00Z"
2013,6,7,NA,"1655",NA,NA,2010,NA,"AA",773,"N569AA","LGA","DFW",NA,1389,16,55,"2013-06-07T20:00:00Z"
2013,3,11,826,"830",-4,1042,1106,-24,"F9",835,"N204FR","LGA","DEN",228,1620,8,30,"2013-03-11T12:00:00Z"
2013,8,27,758,"740",18,905,855,10,"WN",4461,"N632SW","EWR","MDW",103,711,7,40,"2013-08-27T11:00:00Z"
2013,11,23,1632,"1630",2,2018,2010,8,"VX",27,"N846VA","JFK","SFO",359,2586,16,30,"2013-11-23T21:00:00Z"
2013,10,11,1827,"1829",-2,1924,1939,-15,"MQ",3044,"N668MQ","JFK","BWI",37,184,18,29,"2013-10-11T22:00:00Z"
2013,10,27,1718,"1706",12,1821,1818,3,"B6",2580,"N323JB","EWR","BOS",37,200,17,6,"2013-10-27T21:00:00Z"
2013,9,9,1615,"1620",-5,1854,1935,-41,"AA",172,"N3BVAA","EWR","MIA",133,1085,16,20,"2013-09-09T20:00:00Z"
2013,8,31,1505,"1455",10,1631,1630,1,"MQ",3231,"N627MQ","JFK","PIT",59,340,14,55,"2013-08-31T18:00:00Z"
2013,10,8,1625,"1625",0,1902,1932,-30,"B6",423,"N562JB","JFK","LAX",316,2475,16,25,"2013-10-08T20:00:00Z"
2013,12,23,1633,"1515",78,1949,1811,98,"UA",249,"N484UA","EWR","TPA",163,997,15,15,"2013-12-23T20:00:00Z"
2013,8,16,843,"850",-7,1226,1251,-25,"DL",301,"N3749D","JFK","SJU",201,1598,8,50,"2013-08-16T12:00:00Z"
2013,9,19,1552,"1530",22,1704,1715,-11,"WN",1013,"N203WN","LGA","STL",117,888,15,30,"2013-09-19T19:00:00Z"
2013,9,23,659,"700",-1,1010,1019,-9,"DL",269,"N704X","JFK","SFO",340,2586,7,0,"2013-09-23T11:00:00Z"
2013,5,17,814,"807",7,1111,1102,9,"UA",1474,"N17719","EWR","DFW",204,1372,8,7,"2013-05-17T12:00:00Z"
2013,11,19,705,"710",-5,1011,1025,-14,"AA",1345,"N339AA","JFK","MIA",150,1089,7,10,"2013-11-19T12:00:00Z"
2013,1,7,2149,"2159",-10,2249,2306,-17,"EV",4322,"N13965","EWR","PWM",44,284,21,59,"2013-01-08T02:00:00Z"
2013,5,11,1651,"1620",31,1954,1856,58,"US",35,"N546UW","JFK","PHX",300,2153,16,20,"2013-05-11T20:00:00Z"
2013,12,12,NA,"800",NA,NA,938,NA,"UA",331,NA,"LGA","ORD",NA,733,8,0,"2013-12-12T13:00:00Z"
2013,6,17,1837,"1710",87,2140,2005,95,"AA",257,"N5EEAA","JFK","LAS",319,2248,17,10,"2013-06-17T21:00:00Z"
2013,8,19,1716,"1720",-4,1917,1930,-13,"EV",4370,"N11551","EWR","CHS",97,628,17,20,"2013-08-19T21:00:00Z"
2013,1,29,820,"825",-5,930,945,-15,"MQ",4418,"N810MQ","JFK","DCA",52,213,8,25,"2013-01-29T13:00:00Z"
2013,5,13,722,"720",2,909,935,-26,"WN",35,"N915WN","EWR","DEN",210,1605,7,20,"2013-05-13T11:00:00Z"
2013,7,10,1336,"1339",-3,1519,1457,22,"EV",4633,"N13908","EWR","BTV",62,266,13,39,"2013-07-10T17:00:00Z"
2013,8,30,1553,"1559",-6,1751,1750,1,"EV",3846,"N14543","EWR","AVL",90,583,15,59,"2013-08-30T19:00:00Z"
2013,6,27,1213,"1147",26,1505,1454,11,"UA",1120,"N37267","EWR","SFO",329,2565,11,47,"2013-06-27T15:00:00Z"
2013,10,25,2221,"2059",82,6,2255,71,"EV",4368,"N16170","EWR","DAY",85,533,20,59,"2013-10-26T00:00:00Z"
2013,1,24,1558,"1445",73,1832,1745,47,"B6",153,"N643JB","JFK","MCO",130,944,14,45,"2013-01-24T19:00:00Z"
2013,8,27,848,"852",-4,1128,1156,-28,"UA",1223,"N17245","EWR","LAX",301,2454,8,52,"2013-08-27T12:00:00Z"
2013,10,4,627,"630",-3,850,919,-29,"UA",1454,"N54711","LGA","IAH",184,1416,6,30,"2013-10-04T10:00:00Z"
2013,3,24,1252,"1259",-7,1404,1420,-16,"EV",4335,"N11536","EWR","RIC",54,277,12,59,"2013-03-24T16:00:00Z"
2013,9,30,827,"615",132,1022,811,131,"US",1772,"N556UW","JFK","CLT",91,541,6,15,"2013-09-30T10:00:00Z"
2013,7,31,733,"735",-2,1010,1020,-10,"WN",163,"N287WN","LGA","HOU",188,1428,7,35,"2013-07-31T11:00:00Z"
2013,5,2,1211,"1215",-4,1320,1325,-5,"B6",74,"N179JB","JFK","BTV",47,266,12,15,"2013-05-02T16:00:00Z"
2013,7,22,1010,"1014",-4,1204,1227,-23,"EV",5806,"N17185","EWR","OMA",158,1134,10,14,"2013-07-22T14:00:00Z"
2013,10,21,1026,"1029",-3,1241,1249,-8,"US",625,"N541UW","JFK","PHX",291,2153,10,29,"2013-10-21T14:00:00Z"
2013,12,19,854,"850",4,1038,1035,3,"AA",313,"N557AA","LGA","ORD",124,733,8,50,"2013-12-19T13:00:00Z"
2013,2,19,2249,"2200",49,152,57,55,"B6",11,"N618JB","JFK","FLL",156,1069,22,0,"2013-02-20T03:00:00Z"
2013,11,1,758,"800",-2,1103,1117,-14,"DL",2431,"N976DL","JFK","MIA",154,1089,8,0,"2013-11-01T12:00:00Z"
2013,1,18,742,"740",2,1100,1105,-5,"DL",1889,"N721TW","JFK","SEA",356,2422,7,40,"2013-01-18T12:00:00Z"
2013,5,27,750,"800",-10,936,958,-22,"B6",1273,"N368JB","JFK","CHS",92,636,8,0,"2013-05-27T12:00:00Z"
2013,10,4,747,"747",0,1126,1139,-13,"UA",1216,"N81449","EWR","SJU",196,1608,7,47,"2013-10-04T11:00:00Z"
2013,4,14,1141,"1146",-5,1415,1404,11,"FL",376,"N955AT","LGA","ATL",122,762,11,46,"2013-04-14T15:00:00Z"
2013,7,17,1249,"1245",4,1517,1535,-18,"AA",745,"N3JSAA","LGA","DFW",168,1389,12,45,"2013-07-17T16:00:00Z"
2013,9,28,905,"910",-5,1037,1110,-33,"MQ",3565,"N8EGMQ","LGA","CLT",80,544,9,10,"2013-09-28T13:00:00Z"
2013,8,16,2006,"2007",-1,2220,2259,-39,"B6",1505,"N649JB","JFK","ABQ",232,1826,20,7,"2013-08-17T00:00:00Z"
2013,10,8,850,"855",-5,1230,1251,-21,"DL",301,"N3766","JFK","SJU",194,1598,8,55,"2013-10-08T12:00:00Z"
2013,3,11,1703,"1615",48,1932,1836,56,"EV",4294,"N16951","EWR","SAV",113,708,16,15,"2013-03-11T20:00:00Z"
2013,1,5,1155,"1200",-5,1300,1313,-13,"US",2173,"N951UW","LGA","DCA",45,214,12,0,"2013-01-05T17:00:00Z"
2013,6,28,NA,"2359",NA,NA,340,NA,"B6",839,"N580JB","JFK","BQN",NA,1576,23,59,"2013-06-29T03:00:00Z"
2013,5,1,1520,"1524",-4,1629,1643,-14,"EV",4141,"N13978","EWR","MKE",97,725,15,24,"2013-05-01T19:00:00Z"
2013,10,5,1430,"1435",-5,1629,1636,-7,"DL",1819,"N972DL","LGA","MSP",155,1020,14,35,"2013-10-05T18:00:00Z"
2013,6,4,757,"800",-3,1045,1105,-20,"B6",25,"N613JB","JFK","FLL",148,1069,8,0,"2013-06-04T12:00:00Z"
2013,10,10,2037,"2029",8,2312,2337,-25,"UA",1039,"N14237","EWR","AUS",194,1504,20,29,"2013-10-11T00:00:00Z"
2013,9,12,1453,"1420",33,NA,1555,NA,"AA",337,"N466AA","LGA","ORD",NA,733,14,20,"2013-09-12T18:00:00Z"
2013,1,22,2111,"2000",71,2249,2137,72,"EV",4106,"N14573","EWR","GSO",74,445,20,0,"2013-01-23T01:00:00Z"
2013,7,7,806,"810",-4,1044,1054,-10,"UA",439,"N851UA","EWR","BZN",246,1882,8,10,"2013-07-07T12:00:00Z"
2013,3,22,551,"600",-9,841,901,-20,"B6",371,"N645JB","LGA","FLL",150,1076,6,0,"2013-03-22T10:00:00Z"
2013,8,5,1302,"1250",12,1413,1407,6,"EV",6054,"N11127","EWR","IAD",43,212,12,50,"2013-08-05T16:00:00Z"
2013,3,8,932,"806",86,1147,919,148,"B6",1172,"N247JB","EWR","BOS",52,200,8,6,"2013-03-08T13:00:00Z"
2013,6,24,1343,"1345",-2,1635,1645,-10,"AA",117,"N328AA","JFK","LAX",318,2475,13,45,"2013-06-24T17:00:00Z"
2013,3,20,628,"635",-7,926,940,-14,"AA",711,"N3HYAA","LGA","DFW",208,1389,6,35,"2013-03-20T10:00:00Z"
2013,9,29,1947,"2000",-13,2051,2114,-23,"US",2162,"N961UW","LGA","BOS",34,184,20,0,"2013-09-30T00:00:00Z"
2013,5,1,758,"806",-8,946,1003,-17,"EV",4691,"N17138","EWR","DAY",81,533,8,6,"2013-05-01T12:00:00Z"
2013,8,17,1841,"1835",6,1957,2010,-13,"MQ",3674,"N505MQ","LGA","CLE",62,419,18,35,"2013-08-17T22:00:00Z"
2013,11,1,1324,"1329",-5,1530,1529,1,"EV",4687,"N11164","EWR","CVG",104,569,13,29,"2013-11-01T17:00:00Z"
2013,3,31,815,"748",27,1142,1050,52,"B6",201,"N615JB","JFK","FLL",150,1069,7,48,"2013-03-31T11:00:00Z"
2013,10,22,1408,"1340",28,1710,1653,17,"DL",1779,"N972DL","LGA","FLL",166,1076,13,40,"2013-10-22T17:00:00Z"
2013,6,22,955,"1000",-5,1249,1314,-25,"UA",642,"N595UA","JFK","SFO",325,2586,10,0,"2013-06-22T14:00:00Z"
2013,2,12,912,"815",57,1108,1010,58,"MQ",4490,"N737MQ","LGA","CMH",83,479,8,15,"2013-02-12T13:00:00Z"
2013,5,11,1128,"1059",29,1347,1334,13,"B6",711,"N595JB","JFK","LAS",296,2248,10,59,"2013-05-11T14:00:00Z"
2013,6,8,1949,"1935",14,2108,2120,-12,"9E",3755,"N801AY","JFK","BUF",51,301,19,35,"2013-06-08T23:00:00Z"
2013,4,14,1155,"1200",-5,1511,1505,6,"AA",3,"N323AA","JFK","LAX",349,2475,12,0,"2013-04-14T16:00:00Z"
2013,7,14,1541,"1530",11,1809,1840,-31,"DL",1935,"N341NW","LGA","TPA",128,1010,15,30,"2013-07-14T19:00:00Z"
2013,5,25,1540,"1529",11,1737,1744,-7,"EV",4328,"N14116","EWR","MSY",152,1167,15,29,"2013-05-25T19:00:00Z"
2013,9,11,1055,"1100",-5,1151,1215,-24,"US",2144,"N957UW","LGA","BOS",40,184,11,0,"2013-09-11T15:00:00Z"
2013,9,19,1254,"1200",54,1419,1310,69,"WN",295,"N761RR","EWR","MDW",119,711,12,0,"2013-09-19T16:00:00Z"
2013,10,10,905,"737",88,1045,915,90,"EV",3821,"N11536","EWR","GSO",75,445,7,37,"2013-10-10T11:00:00Z"
2013,3,31,1752,"1800",-8,1853,1919,-26,"US",2138,"N956UW","LGA","BOS",37,184,18,0,"2013-03-31T22:00:00Z"
2013,10,1,1157,"1200",-3,1302,1312,-10,"DL",2451,"N336NB","JFK","BOS",35,187,12,0,"2013-10-01T16:00:00Z"
2013,4,30,556,"600",-4,716,725,-9,"UA",816,"N817UA","LGA","ORD",116,733,6,0,"2013-04-30T10:00:00Z"
2013,2,8,NA,"1435",NA,NA,1559,NA,"YV",3750,"N516LR","LGA","IAD",NA,229,14,35,"2013-02-08T19:00:00Z"
2013,10,27,605,"611",-6,852,912,-20,"B6",601,"N706JB","JFK","FLL",147,1069,6,11,"2013-10-27T10:00:00Z"
2013,2,14,1458,"1500",-2,1755,1742,13,"DL",2347,"N613DL","LGA","ATL",122,762,15,0,"2013-02-14T20:00:00Z"
2013,8,10,1014,"853",81,1217,1103,74,"EV",4321,"N14198","EWR","MCI",165,1092,8,53,"2013-08-10T12:00:00Z"
2013,11,3,645,"700",-15,1011,1015,-4,"B6",23,"N807JB","JFK","LAX",357,2475,7,0,"2013-11-03T12:00:00Z"
2013,12,28,1533,"1540",-7,1851,1910,-19,"AA",65,"N3DYAA","JFK","DFW",212,1391,15,40,"2013-12-28T20:00:00Z"
2013,5,1,755,"800",-5,929,1001,-32,"DL",2245,"N315NB","EWR","MSP",133,1008,8,0,"2013-05-01T12:00:00Z"
2013,2,8,NA,"1452",NA,NA,1655,NA,"DL",1231,"N905DL","LGA","DTW",NA,502,14,52,"2013-02-08T19:00:00Z"
2013,4,26,829,"835",-6,1112,1041,31,"EV",4357,"N15980","EWR","CVG",99,569,8,35,"2013-04-26T12:00:00Z"
2013,10,2,2105,"2113",-8,2358,30,-32,"UA",617,"N524UA","EWR","SFO",335,2565,21,13,"2013-10-03T01:00:00Z"
2013,5,8,1828,"1715",73,2009,1900,69,"AA",2019,"N467AA","LGA","STL",121,888,17,15,"2013-05-08T21:00:00Z"
2013,9,11,1755,"1734",21,2027,2000,27,"FL",623,"N326AT","LGA","ATL",121,762,17,34,"2013-09-11T21:00:00Z"
2013,10,23,1643,"1545",58,1830,1721,69,"EV",5293,"N710EV","LGA","ORF",54,296,15,45,"2013-10-23T19:00:00Z"
2013,6,4,1827,"1830",-3,2200,2200,0,"UA",389,"N596UA","JFK","SFO",349,2586,18,30,"2013-06-04T22:00:00Z"
2013,6,25,925,"925",0,1211,1220,-9,"VX",407,"N625VA","JFK","LAX",321,2475,9,25,"2013-06-25T13:00:00Z"
2013,11,6,1529,"1529",0,1657,1635,22,"UA",624,"N842UA","EWR","BOS",44,200,15,29,"2013-11-06T20:00:00Z"
2013,7,27,731,"730",1,1014,1031,-17,"DL",1771,"N704X","JFK","SEA",319,2422,7,30,"2013-07-27T11:00:00Z"
2013,8,3,1617,"1622",-5,1739,1758,-19,"EV",4422,"N23139","EWR","PIT",54,319,16,22,"2013-08-03T20:00:00Z"
2013,5,10,1710,"1715",-5,2011,2012,-1,"DL",503,"N3772H","JFK","SAN",306,2446,17,15,"2013-05-10T21:00:00Z"
2013,5,18,1827,"1830",-3,1955,2014,-19,"9E",4019,"N840AY","JFK","RIC",58,288,18,30,"2013-05-18T22:00:00Z"
2013,4,7,820,"824",-4,948,1014,-26,"EV",4485,"N14920","EWR","RDU",68,416,8,24,"2013-04-07T12:00:00Z"
2013,6,16,1937,"1835",62,2329,2213,76,"B6",173,"N561JB","JFK","SJC",365,2569,18,35,"2013-06-16T22:00:00Z"
2013,6,14,1551,"1535",16,1726,1725,1,"MQ",3416,"N721MQ","LGA","RDU",67,431,15,35,"2013-06-14T19:00:00Z"
2013,7,13,1152,"1145",7,1403,1405,-2,"EV",5030,"N738EV","EWR","ATL",112,746,11,45,"2013-07-13T15:00:00Z"
2013,2,22,947,"955",-8,1242,1220,22,"MQ",4654,"N534MQ","LGA","ATL",128,762,9,55,"2013-02-22T14:00:00Z"
2013,11,1,720,"725",-5,1003,1002,1,"B6",677,"N355JB","JFK","JAX",129,828,7,25,"2013-11-01T11:00:00Z"
2013,5,6,1041,"1029",12,1204,1229,-25,"EV",4398,"N11191","EWR","DSM",124,1017,10,29,"2013-05-06T14:00:00Z"
2013,12,22,1813,"1755",18,2107,2110,-3,"DL",2370,"N954DL","LGA","PBI",150,1035,17,55,"2013-12-22T22:00:00Z"
2013,1,25,701,"705",-4,1039,1034,5,"UA",1655,"N15710","EWR","SNA",381,2434,7,5,"2013-01-25T12:00:00Z"
2013,10,21,918,"910",8,1116,1055,21,"AA",313,"N488AA","LGA","ORD",131,733,9,10,"2013-10-21T13:00:00Z"
2013,3,21,634,"635",-1,936,940,-4,"AA",711,"N3FLAA","LGA","DFW",213,1389,6,35,"2013-03-21T10:00:00Z"
2013,11,16,1653,"1700",-7,1751,1816,-25,"B6",1734,"N184JB","JFK","BTV",45,266,17,0,"2013-11-16T22:00:00Z"
2013,12,21,1457,"1500",-3,1550,1611,-21,"US",2152,"N949UW","LGA","BOS",38,184,15,0,"2013-12-21T20:00:00Z"
2013,4,29,1443,"1451",-8,1826,1746,40,"B6",141,"N627JB","JFK","PBI",160,1028,14,51,"2013-04-29T18:00:00Z"
2013,6,21,1444,"1445",-1,1605,1615,-10,"UA",1279,"N24202","EWR","CLE",58,404,14,45,"2013-06-21T18:00:00Z"
2013,9,30,1313,"1315",-2,1451,1505,-14,"US",2095,"N108UW","EWR","CLT",75,529,13,15,"2013-09-30T17:00:00Z"
2013,11,25,1051,"1100",-9,1352,1411,-19,"DL",2506,"N324NB","LGA","FLL",162,1076,11,0,"2013-11-25T16:00:00Z"
2013,12,17,NA,"1151",NA,NA,1419,NA,"FL",63,"N959AT","LGA","ATL",NA,762,11,51,"2013-12-17T16:00:00Z"
